Income,Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,MntTotal,MntRegularProds,AcceptedCmpOverall
58138.0,0,0,58,3,8,10,4,7,0,1,63,0,0,1,0,0,0,0,1,0,0,1529,1441,0
46344.0,1,1,38,2,1,1,2,5,0,0,66,0,0,1,0,0,0,0,1,0,0,21,15,0
71613.0,0,0,26,1,8,2,10,4,0,0,55,0,0,0,1,0,0,0,1,0,0,734,692,0
26646.0,1,0,26,2,2,0,4,6,0,0,36,0,0,0,1,0,0,0,1,0,0,48,43,0
58293.0,1,0,94,5,5,3,6,5,0,0,39,0,1,0,0,0,0,0,0,0,1,407,392,0
62513.0,0,1,16,2,6,4,10,6,0,0,53,0,0,0,1,0,0,0,0,1,0,702,688,0
55635.0,0,1,34,4,7,3,7,6,0,0,49,1,0,0,0,0,0,0,1,0,0,563,536,0
33454.0,1,0,32,2,4,0,4,8,0,0,35,0,1,0,0,0,0,0,0,0,1,146,123,0
30351.0,1,0,19,1,3,0,2,9,0,1,46,0,0,0,1,0,0,0,0,0,1,44,42,0
5648.0,1,1,68,1,1,0,0,20,0,0,70,0,0,0,1,0,0,0,0,0,1,36,23,1
7500.0,0,0,59,1,2,0,3,8,0,0,44,0,1,0,0,0,0,1,0,0,0,45,29,0
63033.0,0,0,82,1,3,4,8,2,0,0,61,1,0,0,0,0,0,0,1,0,0,1072,1042,0
59354.0,1,1,53,3,6,1,5,6,0,0,68,1,0,0,0,0,0,0,0,1,0,296,282,0
17323.0,0,0,38,1,1,0,3,8,0,0,33,0,1,0,0,0,0,0,1,0,0,41,36,0
82800.0,0,0,23,1,7,6,12,3,0,1,74,0,0,1,0,0,0,0,0,0,1,1270,1225,2
41850.0,1,1,51,3,3,0,3,8,0,0,40,0,1,0,0,0,0,0,1,0,0,92,88,0
37760.0,0,0,20,2,4,1,6,7,0,0,74,0,0,0,1,0,0,0,1,0,0,289,261,0
76995.0,0,1,91,2,11,4,9,5,0,0,71,0,1,0,0,0,0,0,0,1,0,1606,1430,1
33812.0,1,0,86,2,2,1,3,6,0,0,35,0,0,1,0,0,1,0,0,0,0,94,55,0
37040.0,0,0,41,1,4,2,5,8,0,0,38,0,1,0,0,0,0,0,1,0,0,268,220,0
2447.0,1,0,42,15,0,28,0,1,0,0,41,0,1,0,0,0,0,0,1,0,0,1729,1728,0
58607.0,0,1,63,3,2,3,9,8,0,0,71,0,1,0,0,0,0,0,0,0,1,953,934,1
65324.0,0,1,0,3,6,2,9,4,0,0,66,0,1,0,0,0,0,0,0,0,1,539,534,0
40689.0,0,1,69,7,7,1,5,8,0,0,69,0,0,0,1,0,0,0,1,0,0,345,246,0
